Contrato, LT5809911
Duración del contrato, LT2251133
Liquidación de comisiones, LT8466474
Representante, LT5600566
cifra de negocios, LT2518439
cliente, LT2258984
contrato, LT6940774
derecho, LT2566886
derechos de autor, LT3611034
derechos de patente, LT4973095
empresario, LT1039693
encomienda al representante, LT6159884
eventual impugnación, LT4582050
inmediatamente al representante, LT4956229
interés del empresario, LT4670562
marca de comercio, LT6484855
negocio, LT5746120
objeto del contrato, LT7813135
plazo de rescisión, LT2828462
protección de marcas, LT5107725
representante, LT2670794
sede del representante, LT4495941
validez del perfeccionamiento, LT5463853
data category, LT9371873
data processing, LT1105536
data processing operation, LT6691736
data protection, LT7770430
disclosure obligation, LT8946433
entry control, LT6738412
notice period, LT8896780
para, LT9426185
patent right, LT5869581
personal data breach, LT9637693
processing, LT7130935
processing result, LT7528893
processor, LT5141805
processor adheres, LT7719383
processor in accordance, LT2334200
request, LT2092288
sole representation, LT9466222
statement of accounting, LT3890364
sub, LT3364356
timely manner, LT3971605
